,Year,Statistic,Name,Team,Value
758,1960,RBI,Roger Maris,New York,112
759,1960,Runs,Mickey Mantle,New York,119
760,1960,Slugging Average,Roger Maris,New York,.581
761,1960,Stolen Bases,Luis Aparacio,Chicago,51
762,1960,Total Bases,Mickey Mantle,New York,294
763,1960,Triples,Nellie Fox,Chicago,10
764,1961,Base on Balls,Mickey Mantle,New York,126
765,1961,Batting Average,Norm Cash,Detroit,.361
766,1961,Doubles,Al Kaline,Detroit,41
767,1961,Hits,Norm Cash,Detroit,193
768,1961,Home Runs,Roger Maris,New York,61
769,1961,On Base Percentage,Norm Cash,Detroit,.488
770,1961,RBI,Jim Gentile,Baltimore,141
771,1961,RBI,Roger Maris,New York,141
772,1961,Runs,Roger Maris,New York,132
773,1961,Slugging Average,Mickey Mantle,New York,.687
774,1961,Stolen Bases,Luis Aparacio,Chicago,53
775,1961,Total Bases,Roger Maris,New York,366
776,1961,Triples,Jake Wood,Detroit,14
777,1962,Base on Balls,Mickey Mantle,New York,122
778,1962,Batting Average,Pete Runnels,Boston,.326
779,1962,Doubles,Floyd Robinson,Chicago,45
780,1962,Hits,Bobby Richardson,New York,209
781,1962,Home Runs,Harmon Killebrew,Minnesota,48
782,1962,On Base Percentage,Mickey Mantle,New York,.488
783,1962,RBI,Harmon Killebrew,MInnesota,126
784,1962,Runs,Albie Pearson,Los Angeles,115
785,1962,Slugging Average,Mickey Mantle,New York,.605
786,1962,Stolen Bases,Luis Aparicio,Chicago,31
787,1962,Total Bases,Rocky Colavito,Detroit,309
788,1962,Triples,Gino Cimoli,Kansas City,15
789,1963,Base on Balls,Carl Yastrzemski,Boston,95
790,1963,Batting Average,Carl Yastrzemski,Boston,.321
791,1963,Doubles,Carl Yastrzemski,Boston,40
792,1963,Hits,Carl Yastrzemski,Boston,183
793,1963,Home Runs,Harmon Killebrew,Minnesota,45
794,1963,On Base Percentage,Carl Yastrzemski,Boston,.419
795,1963,RBI,Dick Stuart,Boston,118
796,1963,Runs,Bob Allison,Minnesota,99
