,Year,Statistic,Name,Team,Value
425,1948,Saves,Russ Christopher,Cleveland,17
426,1948,Shutouts,Bob Lemon,Cleveland,10
427,1948,Strikeouts,Bob Feller,Cleveland,164
428,1948,Winning Percentage,Jack Kramer,Boston,.783
429,1949,Complete Games,Mel Parnell,Boston,27
430,1949,ERA,Mike Garcia,Cleveland,2.36
431,1949,Games,Joe Page,New York,60
432,1949,Saves,Joe Page,New York,27
433,1949,Shutouts,Ellis Kinder,Boston,6
434,1949,Shutouts,Virgil Trucks,Detroit,6
435,1949,Strikeouts,Virgil Trucks,Detroit,153
436,1949,Winning Percentage,Ellis Kinder,Boston,.793
437,1950,Complete Games,Ned Garver,St. Louis,22
438,1950,Complete Games,Bob Lemon,Cleveland,22
439,1950,ERA,Early Wynn,Cleveland,3.20
440,1950,Games,Mickey Harris,Washington,53
441,1950,Saves,Mickey Harris,Washington,15
442,1950,Shutouts,Art Houtteman,Detroit,4
443,1950,Strikeouts,Bob Lemon,Cleveland,170
444,1950,Winning Percentage,Vic Raschi,New York,.724
445,1950,Wins,Bob Lemon,Cleveland,23
446,1951,Complete Games,Ned Garver,St. Louis,24
447,1951,ERA,Saul Rogovin,Detroit,2.78
448,1951,ERA,Saul Rogovin,Chicago,2.78
449,1951,Games,Ellis Kinder,Boston,63
450,1951,Saves,Ellis Kinder,Boston,14
451,1951,Shutouts,Allie Reynolds,New York,7
452,1951,Strikeouts,Vic Raschi,New York,164
453,1951,Winning Percentage,Bob Feller,Cleveland,.733
454,1951,Wins,Bob Feller,Cleveland,22
455,1952,Complete Games,Bob Lemon,Cleveland,28
456,1952,ERA,Allie Reynolds,New York,2.06
457,1952,Games,Bill Kennedy,Chicago,47
458,1952,Saves,Harry Dorish,Chicago,11
459,1952,Shutouts,Mike Garcia,Cleveland,6
460,1952,Shutouts,Allie Reynolds,New York,6
461,1952,Strikeouts,Allie Reynolds,New York,160
462,1952,Winning Percentage,Bobby Shantz,Philadelphia,.774
463,1952,Wins,Bobby Shantz,Philadelphia,24
464,1953,Complete Games,Bob Porterfield,Washington,24
465,1953,ERA,Ed Lopat,New York,2.42
466,1953,Games,Ellis Kinder,Boston,69
467,1953,Saves,Ellis Kinder,Boston,27
468,1953,Shutouts,Bob Porterfield,Washington,9
469,1953,Strikeouts,Billy Pierce,New York,186
470,1953,Winning Percentage,Ed Lopat,New York,.800
471,1953,Wins,Bob Porterfield,Washington,22
472,1954,Complete Games,Bob Lemon,Cleveland,21
473,1954,Complete Games,Bob Porterfield,Washington,21
474,1954,ERA,Mike Garcia,Cleveland,2.64
475,1954,Games,Sonny Dixon,Washington,54
476,1954,Games,Sonny Dixon,Philadelphia,54
477,1954,Saves,Johnny Sain,New York,22
478,1954,Shutouts,Mike Garcia,Cleveland,5
479,1954,Shutouts,Virgil Trucks,Chicago,5
480,1954,Strikeouts,Bob Turley,Baltimore,185
481,1954,Winning Percentage,Sandy Consuegra,Chicago,.842
482,1954,Wins,Bob Lemon,Cleveland,23
483,1954,Wins,Early Wynn,Cleveland,23
484,1955,Complete Games,Whitey Ford,New York,18
485,1955,ERA,Billy Pierce,Chicago,1.97
486,1955,Games,Ray Narleski,Cleveland,60
